prop_exp,prev_ne,risk,SE_exp,power,sample_size,SE_AUB,SE_A_e,SE_B_given_A_e,SE_A_int_B_e,SE_B_e,SE_A_given_B_e,SE_B_given_not_A_e,SE_A_ne,SE_B_given_A_ne,SE_A_int_B_ne,SE_B_ne,SE_A_given_B_ne,SE_B_given_not_A_ne,SP_A_e,SP_B_e,SP_A_ne,SP_B_ne
0.2,0.1,1.1,0.3,1,250,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,1.1,0.3,1,500,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,1.1,0.4,0.951,250,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,1.1,0.4,0.998,500,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,1.1,0.5,0.065,250,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,1.1,0.5,0.05,500,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,1.1,0.6,0.982,250,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,1.1,0.6,1,500,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,1.1,0.7,1,250,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,1.1,0.7,1,500,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,1.1,0.85,1,250,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,1.1,0.85,1,500,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,2,0.15,1,250,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,2,0.15,1,500,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,2,0.3,1,250,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,2,0.3,1,500,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,2,0.4,0.998,250,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,2,0.4,1,500,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,2,0.5,0.0550000000000001,250,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,2,0.5,0.0570000000000001,500,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,2,0.6,0.998,250,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,2,0.6,1,500,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,2,0.7,1,250,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,2,0.7,1,500,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,2,0.85,1,250,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.1,2,0.85,1,500,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
